|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9863234. 
Chain 1 : 200ms | 12	36	12
Chain 2 : 300ms | 18	54	18

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809832483602769-End@1726809832495610427-Cost:12007658(ns) and Published msg: 30]. 

|TID:1318377216|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809832603794139-End@1726809832622102750-Cost:18308611(ns) and Published msg: 20]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809832603941749-End@1726809832654663716-Cost:50721967(ns) and Route msg: 30]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809832654954583-End@1726809832667133035-Cost:12178452(ns) and Received msg: 30]. 

|TID:1318377216|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809832622676518-End@1726809832676600904-Cost:53924386(ns) and Route msg: 20]. 

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809832683329014-End@1726809832695289979-Cost:11960965(ns) and Published msg: 31]. 

|TID:1422639040|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809832676939930-End@1726809832695310479-Cost:18370549(ns) and Received msg: 20]. 

|TID:1318377216|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809832883585642-End@1726809832895615962-Cost:12030320(ns) and Published msg: 32]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809832883690873-End@1726809832918858220-Cost:35167347(ns) and Route msg: 31]. 

|TID:1318377216|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809832906297569-End@1726809832924642006-Cost:18344437(ns) and Published msg: 21]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809832924783828-End@1726809832936990367-Cost:12206539(ns) and Received msg: 31]. 

|TID:1422639040|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809832919183883-End@1726809832967283908-Cost:48100025(ns) and Route msg: 32]. 

|TID:1422639040|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809832967486522-End@1726809832979704919-Cost:12218397(ns) and Received msg: 32]. 

|TID:1318377216|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809832937309771-End@1726809832988388863-Cost:51079092(ns) and Route msg: 21]. 

|TID:1422639040|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809832988558832-End@1726809833006920095-Cost:18361263(ns) and Received msg: 21]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809833083431469-End@1726809833095450159-Cost:12018690(ns) and Published msg: 33]. 

|TID:1422639040|-->[Chain2-Sensor1.exe:180(100us)]-->[Start@1726809833203593620-End@1726809833221948759-Cost:18355139(ns) and Published msg: 22]. 

|TID:1318377216|-->[Chain1-Transfer2.exe:360(100us)]-->[Start@1726809833203678759-End@1726809833254267515-Cost:50588756(ns) and Route msg: 33]. 

|TID:1318377216|-->[Chain1-Command3.exe:120(100us)]-->[Start@1726809833254470626-End@1726809833266672224-Cost:12201598(ns) and Received msg: 33]. 

|TID:1422639040|-->[Chain2-Transfer2.exe:540(100us)]-->[Start@1726809833222301168-End@1726809833274211452-Cost:51910284(ns) and Route msg: 22]. 

|TID:1318377216|-->[Chain2-Command3.exe:180(100us)]-->[Start@1726809833274413564-End@1726809833292440014-Cost:18026450(ns) and Received msg: 22]. 

|TID:1422639040|-->[Chain1-Sensor1.exe:120(100us)]-->[Start@1726809833283472045-End@1726809833295769031-Cost:12296986(ns) and Published msg: 34]. 

