|CALIBRATION TEST|[Setting: 10ms]->@time-measure: 9623883. 
Timer_missed : 1
Timer_missed : 2

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395455711884163-End@1726395455726273808-Cost:14389645(ns) and Received msg: 15]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395455695220915-End@1726395455750450228-Cost:55229313(ns) and Published msg: 17]. 

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395455742875661-End@1726395455787014907-Cost:44139246(ns) and Published msg: 16]. 

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395455770636373-End@1726395455821561651-Cost:50925278(ns) and Route msg: 17]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395455793529557-End@1726395455829219888-Cost:35690331(ns) and Route msg: 16]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395455821940210-End@1726395455847734725-Cost:25794515(ns) and Received msg: 17]. 

|TID:1201665792|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395455847918445-End@1726395455866035161-Cost:18116716(ns) and Received msg: 16]. 

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395455835337103-End@1726395455888232483-Cost:52895380(ns) and Published msg: 18]. 

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395455888506449-End@1726395455918576283-Cost:30069834(ns) and Route msg: 18]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395455918916514-End@1726395455943885433-Cost:24968919(ns) and Received msg: 18]. 

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395455908550622-End@1726395455959317727-Cost:50767105(ns) and Published msg: 17]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395455959598258-End@1726395455993666846-Cost:34068588(ns) and Route msg: 17]. 

|TID:1201665792|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395455994046740-End@1726395456002468798-Cost:8422058(ns) and Received msg: 17]. 

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395455979535743-End@1726395456014297308-Cost:34761565(ns) and Published msg: 19]. 

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395456014596785-End@1726395456038787370-Cost:24190585(ns) and Route msg: 19]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395456039105243-End@1726395456045895299-Cost:6790056(ns) and Received msg: 19]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395456046202143-End@1726395456078071535-Cost:31869392(ns) and Published msg: 18]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395456078564022-End@1726395456092219581-Cost:13655559(ns) and Route msg: 18]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395456092544516-End@1726395456105799596-Cost:13255080(ns) and Received msg: 18]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395456126273732-End@1726395456146917849-Cost:20644117(ns) and Published msg: 20]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395456147173262-End@1726395456161350517-Cost:14177255(ns) and Route msg: 20]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395456161707600-End@1726395456168554275-Cost:6846675(ns) and Received msg: 20]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395456192884120-End@1726395456218469746-Cost:25585626(ns) and Published msg: 19]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395456218763657-End@1726395456235077005-Cost:16313348(ns) and Route msg: 19]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395456235452992-End@1726395456247520099-Cost:12067107(ns) and Received msg: 19]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395456276286762-End@1726395456299044224-Cost:22757462(ns) and Published msg: 21]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395456299320479-End@1726395456313494377-Cost:14173898(ns) and Route msg: 21]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395456313830821-End@1726395456320783772-Cost:6952951(ns) and Received msg: 21]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395456342940951-End@1726395456363559497-Cost:20618546(ns) and Published msg: 20]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395456363858601-End@1726395456379081545-Cost:15222944(ns) and Route msg: 20]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395456379450483-End@1726395456386265764-Cost:6815281(ns) and Received msg: 20]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395456426291314-End@1726395456455873572-Cost:29582258(ns) and Published msg: 22]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395456456222015-End@1726395456469878177-Cost:13656162(ns) and Route msg: 22]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395456470242837-End@1726395456477102526-Cost:6859689(ns) and Received msg: 22]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395456492899704-End@1726395456525379373-Cost:32479669(ns) and Published msg: 21]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395456525694919-End@1726395456539450075-Cost:13755156(ns) and Route msg: 21]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395456539805993-End@1726395456562767599-Cost:22961606(ns) and Received msg: 21]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395456576294839-End@1726395456596691489-Cost:20396650(ns) and Published msg: 23]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395456596977968-End@1726395456636461616-Cost:39483648(ns) and Route msg: 23]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395456636795963-End@1726395456643624055-Cost:6828092(ns) and Received msg: 23]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395456643917128-End@1726395456676953212-Cost:33036084(ns) and Published msg: 22]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395456679846480-End@1726395456693500967-Cost:13654487(ns) and Route msg: 22]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395456693850236-End@1726395456748627446-Cost:54777210(ns) and Received msg: 22]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395456726827532-End@1726395456773284476-Cost:46456944(ns) and Published msg: 24]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395456773728527-End@1726395456787339869-Cost:13611342(ns) and Route msg: 24]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395456787705150-End@1726395456827899231-Cost:40194081(ns) and Received msg: 24]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395456803444822-End@1726395456844442859-Cost:40998037(ns) and Published msg: 23]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395456848346577-End@1726395456867200784-Cost:18854207(ns) and Route msg: 23]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395456870840192-End@1726395456908936410-Cost:38096218(ns) and Received msg: 23]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395456878559345-End@1726395456925781289-Cost:47221944(ns) and Published msg: 25]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395456926064962-End@1726395456954434174-Cost:28369212(ns) and Route msg: 25]. 

|TID:1534906304|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395456955001417-End@1726395456981122122-Cost:26120705(ns) and Received msg: 25]. 

|TID:1201665792|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395456948051864-End@1726395456993547925-Cost:45496061(ns) and Published msg: 24]. 

|TID:1534906304|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395457000167874-End@1726395457024847343-Cost:24679469(ns) and Route msg: 24]. 

|TID:1201665792|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395457025107200-End@1726395457055656855-Cost:30549655(ns) and Received msg: 24]. 

|TID:1534906304|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395457031507632-End@1726395457075916328-Cost:44408696(ns) and Published msg: 26]. 

|TID:1201665792|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395457076199943-End@1726395457090909664-Cost:14709721(ns) and Route msg: 26]. 

|TID:1201665792|-->[Chain1-Command3.exe:70(100us)]-->[Start@1726395457092366706-End@1726395457128128713-Cost:35762007(ns) and Received msg: 26]. 

|TID:1534906304|-->[Chain2-Sensor1.exe:210(100us)]-->[Start@1726395457101034308-End@1726395457149663110-Cost:48628802(ns) and Published msg: 25]. 

|TID:1201665792|-->[Chain2-Transfer2.exe:140(100us)]-->[Start@1726395457149949634-End@1726395457171126182-Cost:21176548(ns) and Route msg: 25]. 

|TID:1534906304|-->[Chain2-Command3.exe:70(100us)]-->[Start@1726395457171385096-End@1726395457206431778-Cost:35046682(ns) and Received msg: 25]. 

|TID:1201665792|-->[Chain1-Sensor1.exe:210(100us)]-->[Start@1726395457177153644-End@1726395457226140041-Cost:48986397(ns) and Published msg: 27]. 

|TID:1534906304|-->[Chain1-Transfer2.exe:140(100us)]-->[Start@1726395457226436081-End@1726395457254872129-Cost:28436048(ns) and Route msg: 27]. 

